번호,질문,답변
1,"AI Bootcamp 수료 후 수료증이나 인증서를 별도로 발급받을 수 있나요?","안녕하세요, AI Talent Lab입니다. AI Bootcamp 수료 시 별도의 수료증 발급은 제공되지 않으며, 수료 결과는 사내 시스템(HR)에 자동 반영됩니다. 수료 여부 확인이 필요하신 경우 마이프로필 > 이수이력에서 확인하실 수 있습니다. 감사합니다."
2,"지난 기수에서 AI Bootcamp 최종과제를 제출하지 못해 미수료 처리되었는데, 다음 기수에 다시 신청할 수 있나요?","안녕하세요, AI Talent Lab입니다. AI Bootcamp는 이전 기수 수강 이력과 관계없이 새로운 기수에 재참여가 가능합니다. AX College에서 원하시는 기수의 교육일정을 선택하여 수강신청 해주시면 됩니다. 감사합니다."
3,"최종과제에서 플랫폼 제공 Azure OpenAI 외에 Hugging Face API나 Google Gemini API 같은 외부 API를 사용해도 되나요?","안녕하세요, AI Talent Lab입니다. 최종과제에서는 플랫폼에서 제공하는 Azure OpenAI API 사용을 권장드리며, 과제 설명 내 필수 기술요소를 충실히 활용하셔야 합니다. 외부 API를 보조적으로 활용하는 것은 가능하나, 플랫폼 외부 API의 비용은 지원되지 않으며, 평가 시 플랫폼 제공 기술요소 활용 여부가 핵심 기준이 되는 점 참고 부탁드립니다. 감사합니다."
4,"AI Literacy 인증시험에서 불합격하면 다음 차수에 다시 응시할 수 있나요?","안녕하세요, AI Talent Lab입니다. AI Literacy 인증시험에 불합격하신 경우 다음 차수 시험에 다시 신청하여 응시하실 수 있습니다. 차수별 신청 기간 내에 AX College에서 재신청해 주시면 됩니다. 감사합니다."
5,"AI Bootcamp 최종과제를 동료와 함께 팀 프로젝트로 제출해도 되나요?","안녕하세요, AI Talent Lab입니다. AI Bootcamp 최종과제는 개인별 평가로 진행되며, 각자 독립적으로 기획 설계 문서와 소스코드를 제출하셔야 합니다. 동일하거나 유사한 코드를 제출하실 경우 평가에 불이익이 있을 수 있으므로, 개별적으로 과제를 수행해 주시기 바랍니다. 감사합니다."
6,"로컬에서 작성한 Python 파일을 웹 IDE에 업로드하려면 어떻게 해야 하나요?","안녕하세요, AI Talent Lab입니다. 웹 IDE 좌측 파일 트리 영역에서 업로드 기능을 이용하시거나, 로컬 파일의 코드를 복사하여 웹 IDE 에디터에 붙여넣기 하시는 방법으로 진행하실 수 있습니다. 감사합니다."
7,"AI Bootcamp 12기 수강 중인데 업무 사정으로 13기로 변경할 수 있나요?","안녕하세요, AI Talent Lab입니다. 수강 중 기수 변경은 별도로 지원되지 않습니다. 현재 기수에서 수료가 어려우신 경우, 다음 기수 모집 기간에 새로 수강신청 하시면 됩니다. 이전 기수 수강 이력과 무관하게 새 기수 참여가 가능합니다. 감사합니다."
8,"최종과제 소스코드 제출 시 파일 용량이나 파일 개수에 제한이 있나요?","안녕하세요, AI Talent Lab입니다. 최종과제는 웹 IDE 내 프로젝트 폴더 기준으로 제출되며, 별도의 파일 개수 제한은 없습니다. 다만, 대용량 데이터 파일이나 불필요한 폴더(venv 등)는 제외하시는 것을 권장드립니다. 코드 리뷰 시 오류가 발생할 수 있습니다. 감사합니다."
9,"AI Literacy 인증시험은 몇 문제이고 시간은 얼마나 주어지나요? 객관식인가요?","안녕하세요, AI Talent Lab입니다. AI Literacy 인증시험은 1시간 동안 진행되며, 생성형 AI Fundamental 카테고리에서 출제됩니다. 사전연습에서는 Non-Tech 문제 3문제(문서 작성, 스프레드시트, 코드 작성 등 혼합 출제)가 제공되니 참고해 주세요. 시험의 세부 구성은 AX College 공지를 확인해 주시기 바랍니다. 감사합니다."
10,"AI Bootcamp 6개 모듈을 꼭 순서대로 수강해야 하나요? 관심 있는 모듈부터 먼저 들어도 되나요?","안녕하세요, AI Talent Lab입니다. AI Bootcamp 모듈은 앞선 모듈의 내용이 뒤 모듈의 기초가 되는 구조로 설계되어 있어 순서대로 수강하시는 것을 권장드립니다. 다만, 이미 해당 기술에 대한 사전 지식이 있으시다면 원하시는 순서로 수강하셔도 무방합니다. 최종과제 시작을 위해서는 6개 모듈 모두 이수 완료가 필요합니다. 감사합니다."
